Stkcd,Rptdt,Fenddt,Ananm,Brokern,Feps
1,2014/12/1,2014/12/31,"肖立强,邹添杰,许荣聪",招商证券股份有限公司,1.68
1,2014/12/1,2015/12/31,"肖立强,邹添杰,许荣聪",招商证券股份有限公司,1.98
1,2014/12/1,2016/12/31,"肖立强,邹添杰,许荣聪",招商证券股份有限公司,2.26
1,2014/10/25,2014/12/31,林媛媛,海通证券股份有限公司,1.65
1,2014/10/25,2015/12/31,林媛媛,海通证券股份有限公司,1.93
1,2014/10/24,2014/12/31,孙洁妮,中银国际证券有限责任公司,
1,2014/10/24,2015/12/31,孙洁妮,中银国际证券有限责任公司,
1,2014/10/24,2016/12/31,孙洁妮,中银国际证券有限责任公司,
1,2014/10/24,2014/12/31,杨荣,中信建投证券股份有限公司,1.74
1,2014/10/24,2014/12/31,郑春明,群益证券(香港)有限公司,1.73
1,2014/10/24,2015/12/31,郑春明,群益证券(香港)有限公司,1.84
1,2014/10/24,2014/12/31,于娃丽,中国民族证券有限责任公司,1.68
1,2014/10/24,2015/12/31,于娃丽,中国民族证券有限责任公司,1.94
1,2014/10/24,2016/12/31,于娃丽,中国民族证券有限责任公司,2.22
1,2014/10/24,2014/12/31,唐亚韫,东北证券股份有限公司,1.64
1,2014/10/24,2015/12/31,唐亚韫,东北证券股份有限公司,1.9
1,2014/10/24,2016/12/31,唐亚韫,东北证券股份有限公司,2.24
1,2014/10/24,2014/12/31,屈俊,长城证券有限责任公司,1.7
1,2014/10/24,2015/12/31,屈俊,长城证券有限责任公司,2.12
1,2014/10/24,2014/12/31,邹恒超,民生证券股份有限公司,1.55
1,2014/10/24,2015/12/31,邹恒超,民生证券股份有限公司,1.89
1,2014/10/24,2014/12/31,"黄洁,毛军华",中国国际金融有限公司,1.67
1,2014/10/24,2015/12/31,"黄洁,毛军华",中国国际金融有限公司,1.99
1,2014/10/24,2015/12/31,陆怡雯,申银万国证券股份有限公司,1.83
1,2014/10/24,2016/12/31,陆怡雯,申银万国证券股份有限公司,2.35
1,2014/10/24,2014/12/31,陆怡雯,申银万国证券股份有限公司,1.55
1,2014/10/24,2014/12/31,"邱冠华,赵欣茹,黄春逢",国泰君安证券股份有限公司,1.71
1,2014/10/24,2015/12/31,"邱冠华,赵欣茹,黄春逢",国泰君安证券股份有限公司,2.15
1,2014/10/24,2016/12/31,"邱冠华,赵欣茹,黄春逢",国泰君安证券股份有限公司,2.68
1,2014/10/24,2014/12/31,邓茂,东莞证券有限责任公司,1.72
1,2014/10/24,2015/12/31,邓茂,东莞证券有限责任公司,1.95
1,2014/10/23,2014/12/31,"肖立强,邹添杰",招商证券股份有限公司,1.71
1,2014/10/23,2015/12/31,"肖立强,邹添杰",招商证券股份有限公司,2.15
1,2014/10/23,2016/12/31,"肖立强,邹添杰",招商证券股份有限公司,2.62
1,2014/10/23,2014/12/31,"吴畏,傅慧芳",兴业证券股份有限公司,1.64
1,2014/10/23,2015/12/31,"吴畏,傅慧芳",兴业证券股份有限公司,2.05
1,2014/10/23,2014/12/31,马鲲鹏,国金证券股份有限公司,1.52
1,2014/10/23,2015/12/31,马鲲鹏,国金证券股份有限公司,1.84
1,2014/10/23,2016/12/31,马鲲鹏,国金证券股份有限公司,2.2
1,2014/10/23,2014/12/31,王剑,光大证券股份有限公司,1.53
1,2014/10/23,2015/12/31,王剑,光大证券股份有限公司,1.89
1,2014/10/23,2016/12/31,王剑,光大证券股份有限公司,2.18
1,2014/10/23,2014/12/31,罗毅,华泰证券股份有限公司,1.77
1,2014/10/23,2015/12/31,罗毅,华泰证券股份有限公司,2.22
1,2014/10/23,2016/12/31,罗毅,华泰证券股份有限公司,2.6
1,2014/10/23,2014/12/31,张继袖,渤海证券股份有限公司,1.73
1,2014/10/23,2015/12/31,张继袖,渤海证券股份有限公司,2.07
1,2014/10/23,2016/12/31,张继袖,渤海证券股份有限公司,2.46
1,2014/10/23,2014/12/31,王一川,长江证券股份有限公司,1.74
1,2014/10/23,2015/12/31,王一川,长江证券股份有限公司,2.19
1,2014/10/23,2014/12/31,"李南,马宁,吴双",北京高华证券有限责任公司,1.68
1,2014/10/23,2015/12/31,"李南,马宁,吴双",北京高华证券有限责任公司,1.89
