"","Stkcd","Rptdt","Fenddt","Brokern","Feps","EDates","REps","name","dev","DateDiff"
"1",1,2008-03-20,2010-12-31,"光大证券股份有限公司",2.54,"rptDate=20101231",1.91,"蔡荣",0.329842931937173,1016
"2",1,2008-03-20,2009-12-31,"光大证券股份有限公司",2,"rptDate=20091231",1.62,"蔡荣",0.234567901234568,651
"3",1,2008-03-20,2008-12-31,"光大证券股份有限公司",1.62,"rptDate=20081231",0.2,"蔡荣",7.1,286
"4",1,2008-05-15,2008-12-31,"光大证券股份有限公司",1.73,"rptDate=20081231",0.2,"蔡荣",7.65,230
"5",1,2008-05-15,2009-12-31,"光大证券股份有限公司",2.07,"rptDate=20091231",1.62,"蔡荣",0.277777777777778,595
"6",1,2008-05-15,2010-12-31,"光大证券股份有限公司",2.49,"rptDate=20101231",1.91,"蔡荣",0.303664921465969,960
"7",1,2008-08-20,2008-12-31,"光大证券股份有限公司",1.84,"rptDate=20081231",0.2,"蔡荣",8.2,133
"8",1,2008-08-20,2010-12-31,"光大证券股份有限公司",2.49,"rptDate=20101231",1.91,"蔡荣",0.303664921465969,863
"9",1,2008-08-20,2009-12-31,"光大证券股份有限公司",1.96,"rptDate=20091231",1.62,"蔡荣",0.209876543209876,498
"10",1,2008-10-24,2010-12-31,"光大证券股份有限公司",2.16,"rptDate=20101231",1.91,"蔡荣",0.130890052356021,798
"11",1,2008-10-24,2008-12-31,"光大证券股份有限公司",1.84,"rptDate=20081231",0.2,"蔡荣",8.2,68
"12",1,2008-10-24,2009-12-31,"光大证券股份有限公司",1.66,"rptDate=20091231",1.62,"蔡荣",0.0246913580246912,433
"13",1,2009-04-23,2009-12-31,"光大证券股份有限公司",1.37,"rptDate=20091231",1.62,"蔡荣",0.154320987654321,252
"14",1,2009-04-23,2010-12-31,"光大证券股份有限公司",1.87,"rptDate=20101231",1.91,"蔡荣",0.0209424083769633,617
"15",1,2009-04-23,2011-12-31,"光大证券股份有限公司",2.47,"rptDate=20111231",2.47,"蔡荣",0,982
"16",1,2013-12-16,2014-12-31,"广发证券股份有限公司",4.47,"rptDate=20141231",1.73,"曹恒乾",1.58381502890173,380
"17",1,2013-12-16,2013-12-31,"广发证券股份有限公司",3.66,"rptDate=20131231",1.86,"曹恒乾",0.967741935483871,15
"18",1,2010-08-24,2011-12-31,"兴业证券股份有限公司",2.161,"rptDate=20111231",2.47,"曹晋",0.125101214574899,494
"19",1,2010-08-24,2010-12-31,"兴业证券股份有限公司",1.795,"rptDate=20101231",1.91,"曹晋",0.0602094240837696,129
