H_wage,Female,Black,Edu,Exp,Married
4.4359,1,0,17,35,0
26.7857,0,0,16,13,1
15.52,0,0,12,25,1
4.25,1,0,8,14,0
7.2,1,0,18,6,0
14.37,1,0,12,23,1
4.4444,1,0,11,16,1
14,0,0,12,35,1
4.25,1,0,3,31,0
10.8696,0,0,9,21,1
10.25,0,1,11,38,1
7.41,1,0,9,11,1
29.1667,0,1,18,21,1
23.08,0,1,13,23,0
10,0,0,9,11,0
6.6667,0,0,14,13,1
11,1,0,12,29,1
17.5926,1,0,16,6,0
4.1,1,1,13,14,0
17.5,0,0,12,20,1
12.5,1,0,5,31,1
6,0,0,12,11,0
4.5,1,0,4,32,1
5,0,0,12,26,1
37.5,0,0,16,20,1
8.26,1,0,14,22,0
12.5,0,0,14,12,1
11.25,1,0,13,25,1
9.1,0,0,9,20,1
7.5,0,1,12,17,1
8.5,1,0,0,31,1
22.5,0,0,6,43,0
10,1,0,16,4,1
8.3333,0,0,15,14,1
4.35,1,0,6,27,0
16.6667,1,0,12,13,0
12.5,0,0,12,41,1
22.5,0,0,18,9,1
14.5,1,0,12,11,0
10,0,0,13,9,1
10.5,0,0,17,12,1
12.5,1,0,17,35,1
16.5,1,0,12,29,1
14.5,0,0,16,15,1
8.92,1,0,14,11,1
8,1,0,14,37,1
17.25,0,0,14,19,1
14,0,0,15,32,0
14.95,1,0,16,4,1
12.5,1,0,16,5,0
15,0,0,12,23,1
12.67,0,0,12,8,0
8.4,0,0,18,21,0
11.5263,1,0,16,11,0
15.5556,0,0,16,8,1
5.19,1,0,12,39,0
7.77,1,0,12,22,1
11,0,0,12,10,0
11.54,0,0,12,15,1
16.3636,0,0,14,34,1
21.925,0,0,16,4,0
14,0,0,16,16,0
9.6,1,0,12,12,0
22.975,0,0,16,33,0
8,1,0,12,24,0
6,1,1,12,10,0
6.25,1,0,13,7,1
15,0,0,10,16,1
15,0,0,12,40,1
9,1,0,12,28,1
7.13,1,0,14,24,1
12.4,0,0,12,17,1
12,0,0,12,12,1
12.25,1,0,12,25,1
7.5,1,0,12,27,0
24.4444,0,0,12,41,1
5,1,0,13,11,0
13,0,0,12,15,1
4.5,1,0,12,8,0
5.875,1,0,12,35,1
14.26,1,0,13,32,0
15.1,0,0,12,27,1
8,1,0,14,12,1
13.3333,0,0,16,5,0
24.65,0,0,12,19,0
4.1667,1,0,7,39,0
14.375,0,0,16,35,1
14.425,0,0,18,3,1
37.5,0,0,18,28,0
8.5714,1,0,16,22,0
9.78,1,0,12,24,0
12.5,0,0,18,15,1
8,0,1,12,14,1
12.27,1,1,8,31,1
11.325,1,0,15,19,1
15,1,1,12,11,0
13.4,1,0,16,5,0
8.3333,0,0,12,23,1
17.5,0,0,16,26,1
17.7778,1,0,14,9,0
22.5,0,0,18,4,1
15,1,0,14,25,1
6,1,1,15,18,0
8,1,1,12,23,0
18.275,1,0,18,5,1
5,1,1,14,29,0
10,1,0,12,37,1
30,1,0,18,9,0
14.1064,0,0,10,38,1
8.125,1,1,12,33,1
7.5,1,0,12,32,1
9,1,0,16,22,0
10,1,0,12,20,1
26.6667,0,0,16,30,1
8.9,1,0,12,25,1
10,0,1,12,32,1
18.25,0,0,18,7,1
10,1,0,12,28,1
16.25,0,0,15,10,1
28,0,0,14,34,1
7.3,1,0,10,14,1
11.18,0,0,12,21,1
13,0,1,13,8,1
15,0,0,14,8,0
7.7778,0,0,16,7,0
13.62,0,0,12,36,1
16.5,0,0,10,24,1
20,0,0,12,32,1
7.5,1,0,12,21,1
5.0505,0,0,18,7,1
10.5,0,0,12,17,0
13.3333,0,0,11,29,1
5,0,0,12,9,0
5.35,1,0,12,35,1
6.25,0,0,13,7,0
5,1,0,11,21,0
11.7778,1,0,12,17,0
9.625,0,0,12,12,1
20.625,0,0,14,15,1
4.05,1,0,13,22,0
18,0,0,15,16,1
21.625,0,0,12,23,0
7.2727,1,1,16,7,1
12.35,1,0,12,16,1
12.2,1,0,12,24,1
7.71,0,1,12,34,1
3.5,1,0,6,14,1
3.65,0,0,12,13,1
5,0,1,12,24,0
8.88,1,0,14,8,0
13.125,1,0,16,18,1
9,1,0,14,20,1
42.7333,0,1,12,38,1
3.5,1,1,9,28,1
4.35,1,1,12,8,0
16.87,0,0,13,18,1
18.08,0,0,18,5,0
30.6,0,0,16,17,1
18.75,1,0,14,8,0
8.75,0,0,11,20,1
13.15,1,0,16,9,1
3.35,1,1,14,27,1
15,0,1,18,10,1
9,0,0,12,12,0
15.1,0,0,14,13,1
10.4167,1,0,16,7,0
16.6667,0,0,12,38,1
13.5,0,0,12,19,1
12,0,0,13,12,1
9,0,0,14,34,1
11,1,0,18,2,0
15,0,0,12,10,1
15.5556,0,0,16,9,1
9.69,1,0,12,14,1
6.05,1,0,12,12,1
48.075,0,0,16,19,1
6,0,0,12,38,1
4.25,1,0,12,14,0
11.65,0,0,12,15,1
15,1,0,12,30,0
5.5,1,0,12,24,1
6.5,0,0,12,8,1
17.325,0,0,13,39,1
5.5,0,0,1,25,1
5.5,0,0,10,27,1
8.7,1,0,16,34,1
6,0,0,12,12,1
5.625,1,0,12,14,1
11.8393,0,0,18,10,1
6.16,0,0,12,18,1
11.1111,1,0,16,6,1
4.5,1,0,12,19,0
9,1,0,16,23,1
12.5,0,0,16,11,1
10,1,0,12,40,1
13.85,0,0,12,29,0
18.75,0,0,18,34,1
10.65,0,0,12,11,1
24.3,0,0,12,32,1
11.0833,0,0,12,16,1
17.4419,0,0,18,24,1
11.82,0,0,12,17,1
12.5,0,0,18,9,1
6.5,0,0,9,15,0
48.075,0,0,18,17,1
15,1,0,16,8,1
6.7857,1,0,17,5,0
11.5,0,1,12,33,1
12.5,0,0,12,38,1
25,0,0,18,6,0
7.5,1,0,10,10,0
10,1,0,12,20,0
7,1,1,16,35,0
12,0,0,8,33,1
11,0,0,14,11,1
4.72,1,0,13,37,1
8.95,1,0,11,20,0
7.7619,1,0,16,29,1
6.75,1,0,14,12,1
7.25,1,0,12,16,1
12.5,0,1,12,29,0
11.5333,1,0,12,31,1
8.75,1,0,12,21,0
6.82,0,0,12,10,1
4,1,0,10,12,0
7.35,1,1,12,11,0
6.6667,0,0,16,17,1
5,1,0,12,41,1
10,1,0,14,12,1
15,0,0,12,29,1
8.82,1,0,13,34,0
9.27,0,0,6,37,1
17.79,1,0,10,38,1
5.7,1,0,12,41,1
11.75,0,0,12,16,1
5.65,1,0,12,30,1
7.65,1,0,13,8,0
21.8182,0,0,18,7,1
9,1,0,12,23,1
13.75,0,0,12,29,1
7.4667,1,0,12,27,1
13,0,0,11,25,1
10,1,0,16,6,1
5.8857,1,0,12,8,1
11.75,0,0,12,19,0
6.9,0,0,12,16,1
6.5,1,0,12,17,0
4.2105,1,0,12,21,0
13,1,0,12,38,1
6.45,1,0,12,37,1
6.88,1,0,11,21,1
12.5,0,0,12,30,1
15,1,1,12,26,1
14.33,0,0,12,30,1
6,0,0,3,48,0
7.8947,1,0,12,32,1
13,0,0,12,12,1
6.25,1,0,12,35,0
11.1111,0,0,13,16,1
10.5,1,0,16,16,1
11.25,0,0,9,15,0
22,0,0,18,19,1
16,0,0,18,12,0
11.6667,0,0,14,18,1
4.5,0,1,16,18,0
12,0,0,14,9,1
5,1,0,12,22,1
5.9455,1,0,12,24,1
11.46,1,0,16,9,0
20,0,0,12,40,1
17.3,1,0,16,29,0
8.55,1,0,12,36,1
11.2,0,0,12,14,1
10,1,0,12,29,1
8,1,0,14,37,1
10,0,0,16,22,1
7.23,1,0,9,27,1
9,0,0,6,17,0
16.25,1,0,18,24,0
5,0,0,12,12,1
20,0,0,10,39,1
7.36,1,0,12,24,0
16.6667,0,0,15,22,1
11,0,0,11,14,0
16.2273,0,0,16,22,1
6.61,1,0,12,24,0
6,0,1,12,13,1
9.25,1,0,12,24,1
6.6667,0,0,7,37,1
5,0,0,11,12,1
9.05,0,0,12,19,1
7.5,0,0,12,12,0
12.24,0,0,12,19,0
8.68,1,0,12,25,1
3.45,1,0,12,16,1
